Index,feature_id,mz,rt,TIC,charge,status
110,277.0,197.8072,507.196,10203500.0,1.0,singleton
111,278.0,593.1213,448.027,5341000.0,-1.0,fragment
112,281.0,683.1719,448.027,5113000.0,-1.0,precursor
113,284.0,743.1392,438.104,2821000.0,-1.0,fragment
114,293.0,307.8558,513.661,497900.0,-1.0,singleton
115,305.0,209.8331,507.258,439400.0,1.0,singleton
116,306.0,132.8665,508.99,1513000.0,1.0,singleton
117,307.0,833.1891,457.467,1274800.0,-1.0,singleton
118,308.0,178.9768,511.769,483600.0,1.0,singleton
119,321.0,190.9275,2.905,922500.0,1.0,singleton
120,325.0,173.9251,506.183,726200.0,1.0,singleton
121,336.0,453.7864,512.857,166100.0,-1.0,singleton
122,360.0,383.1894,406.92,3251000.0,-1.0,singleton
123,362.0,315.182,187.521,154200.0,-1.0,singleton
124,368.0,445.0847,400.745,141500.0,-1.0,fragment
125,385.0,667.1412,464.678,199900.0,-1.0,singleton
126,409.0,239.0591,182.976,135400.0,-1.0,singleton
127,444.0,174.9549,505.719,3497000.0,1.0,fragment
128,446.0,144.9222,504.796,14486000.0,-1.0,fragment
129,451.0,355.1582,375.196,3258000.0,-1.0,singleton
130,453.0,312.8363,504.764,1214100.0,-1.0,precursor
131,454.0,207.836,507.54,2231000.0,1.0,singleton
132,460.0,134.8933,504.867,241700.0,-1.0,singleton
133,461.0,200.8582,504.247,847400.0,-1.0,fragment
134,462.0,215.868,508.502,1261300.0,-1.0,singleton
135,467.0,146.9374,513.842,1408800.0,1.0,fragment
136,472.0,743.1394,457.448,3598000.0,-1.0,singleton
137,477.0,225.8968,508.606,461100.0,-1.0,singleton
138,481.0,336.8587,512.94,777200.0,-1.0,precursor
139,484.0,322.8868,505.687,618200.0,-1.0,precursor
140,487.0,134.8641,508.905,1819700.0,1.0,singleton
141,493.0,242.943,505.213,741900.0,-1.0,precursor
142,495.0,222.8293,507.514,166700.0,1.0,singleton
143,506.0,132.9222,505.227,1356700.0,1.0,fragment
144,508.0,125.8718,508.098,146400.0,1.0,singleton
145,512.0,180.9724,511.714,632000.0,1.0,singleton
146,515.0,228.8533,504.002,300400.0,-1.0,singleton
147,545.0,320.8862,511.09,296000.0,-1.0,precursor
148,551.0,146.9647,16.35,631200.0,1.0,singleton
149,553.0,199.8503,504.129,135300.0,1.0,singleton
150,569.0,309.1742,299.301,162400.0,1.0,singleton
151,581.0,198.8636,504.376,113100.0,1.0,singleton
