Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
95,80,80,,,,0.0,0.0,singleton,,0.0
96,81,81,,,,0.0,0.0,singleton,,0.0
97,82,82,,,,0.0,0.0,singleton,,0.0
98,83,83,,,,0.0,0.0,singleton,,0.0
99,84,84,,,,0.0,0.0,singleton,,0.0
100,85,85,,,,0.0,0.0,singleton,,0.0
101,86,86,,,,0.0,0.0,singleton,,0.0
102,88,88,,,,0.0,0.0,singleton,,0.0
103,89,89,,,,0.0,0.0,singleton,,0.0
104,90,90,,,,0.0,0.0,singleton,,0.0
105,91,91,,,,0.0,0.0,singleton,,0.0
106,93,93,,,,0.0,0.0,singleton,,0.0
107,94,94,,,,0.0,0.0,singleton,,0.0
108,95,95,,,,0.0,0.0,singleton,,0.0
109,96,96,,,,0.0,0.0,singleton,,0.0
110,97,97,,,,0.0,0.0,singleton,,0.0
111,99,99,,,,0.0,0.0,singleton,,0.0
112,100,100,,,,0.0,0.0,singleton,,0.0
113,101,101,,,,0.0,0.0,singleton,,0.0
114,103,103,,,,0.0,0.0,singleton,,0.0
115,104,104,,,,0.0,0.0,singleton,,0.0
116,105,105,,,,0.0,0.0,singleton,,0.0
117,106,106,,,,0.0,0.0,singleton,,0.0
118,107,107,,,,0.0,0.0,singleton,,0.0
119,108,108,,,,0.0,0.0,singleton,,0.0
120,109,109,,,,0.0,0.0,singleton,,0.0
121,110,110,,,,0.0,0.0,singleton,,0.0
122,114,114,,,,0.0,0.0,singleton,,0.0
123,115,115,,,,0.0,0.0,singleton,,0.0
124,116,116,,,,0.0,0.0,singleton,,0.0
125,117,117,,,,0.0,0.0,singleton,,0.0
126,118,118,,,,0.0,0.0,singleton,,0.0
127,119,119,,,,0.0,0.0,singleton,,0.0
128,120,120,,,,0.0,0.0,singleton,,0.0
129,121,121,,,,0.0,0.0,singleton,,0.0
130,122,122,,,,0.0,0.0,singleton,,0.0
131,123,123,,,,0.0,0.0,singleton,,0.0
132,125,125,,,,0.0,0.0,singleton,,0.0
133,126,126,,,,0.0,0.0,singleton,,0.0
134,129,129,,,,0.0,0.0,singleton,,0.0
135,131,131,,,,0.0,0.0,singleton,,0.0
136,132,132,,,,0.0,0.0,singleton,,0.0
137,134,134,,,,0.0,0.0,singleton,,0.0
138,136,136,,,,0.0,0.0,singleton,,0.0
139,137,137,,,,0.0,0.0,singleton,,0.0
140,140,140,,,,0.0,0.0,singleton,,0.0
141,142,142,,,,0.0,0.0,singleton,,0.0
142,144,144,,,,0.0,0.0,singleton,,0.0
143,145,145,,,,0.0,0.0,singleton,,0.0
144,146,146,,,,0.0,0.0,singleton,,0.0
145,148,148,,,,0.0,0.0,singleton,,0.0
146,149,149,,,,0.0,0.0,singleton,,0.0
147,150,150,,,,0.0,0.0,singleton,,0.0
148,151,151,,,,0.0,0.0,singleton,,0.0
149,152,152,,,,0.0,0.0,singleton,,0.0
150,153,153,,,,0.0,0.0,singleton,,0.0
151,154,154,,,,0.0,0.0,singleton,,0.0
152,156,156,,,,0.0,0.0,singleton,,0.0
153,157,157,,,,0.0,0.0,singleton,,0.0
154,158,158,,,,0.0,0.0,singleton,,0.0
155,159,159,,,,0.0,0.0,singleton,,0.0
156,160,160,,,,0.0,0.0,singleton,,0.0
157,162,162,,,,0.0,0.0,singleton,,0.0
158,163,163,,,,0.0,0.0,singleton,,0.0
159,164,164,,,,0.0,0.0,singleton,,0.0
160,165,165,,,,0.0,0.0,singleton,,0.0
161,166,166,,,,0.0,0.0,singleton,,0.0
