Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
521,33,36,29,28,33,21
523,,,,,,
526,,,,,,
527,,4,,,,
528,5,6,5,6,3,6
530,,31,,,,
531,,42,,,,
532,4,,3,2,1,
533,,,,,,
534,,,,,,
535,,,,,,
544,,4,,,,
545,,1,,,,
547,,9,,,,
549,22,23,,12,9,23
550,,9,,,,38
551,,,,,,
553,,,,,,
556,,0,,,,1
558,,,,,,
560,,,,,,
566,,,,,,18
567,,0,,,,1
569,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
576,21,,,3,23,27
578,,1,,,,
579,,,,,,
582,,45,,,,
583,,16,,,,
585,,,,,,
586,,9,,,,
587,,,,,,
590,,,,,,
591,,26,21,27,5,24
592,,,,,,
595,,,,,,
596,,48,,,,
599,,,,,,
601,,15,,,,
603,12,14,12,,12,
604,,,,,,
606,,16,,,,
607,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,15,,,,
616,,,,,,
619,,,,,,
621,,,,,,
622,,,,,,
626,,,,,,
627,,1,10,,,
629,,,,,,
630,,,,,,17
631,,,,,,15
632,,48,,,,
634,,,,,,
635,,,,,,
636,,38,,,,
637,23,28,18,,18,
640,,,,,,
641,,41,,,,
642,,,,,,
644,,,,,,
647,,25,,7,,7
648,,13,,,,
649,,31,,,,
650,,,,,,
651,,,,,,
654,9,40,30,11,32,12
655,35,,37,,41,
657,,,,,,
659,,,,,,
661,,,,,,
662,,,,,,
663,14,21,15,29,13,19
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
669,,,,,,
671,,,,,35,
673,,,,,,
674,,,,,,
675,,,,,,
678,,,,,,
679,,,,,,
681,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,45,,,,
689,,,,,,
691,,,,43,,
692,,,,,,
693,12,14,12,,12,
695,,,,,,
697,,13,,,,
698,,40,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,37,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,12,,,,
707,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,38,,,,
718,,,,,,
719,,,,,,
720,,,,,,
723,,,,,,
724,,,,,,
725,,46,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,37,,,,
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,,,,,,
735,14,21,15,,13,19
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,11,,13,,9
742,,,,,,
743,,,,,,
744,,,,,,
746,,,,,,
747,,,,,,
748,,43,,,,
749,,,,,,
750,,,,,,
751,,,,,,
754,,,,,,
756,,,,,,
757,,,,,,
758,,,,,,
759,,17,,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,,,,,
764,,,,,,
765,,17,,,,34
766,,,,,,
767,,,,,,
769,,41,,,,
770,,,,,,
772,,,,,,
773,,,,,,0
774,,,,,,0
775,27,24,31,38,31,25
776,,,,,,37
777,,,,,,
778,,,,,,
779,,,,,,0
783,,,,,,
784,,,,,,
785,,,,,,0
787,6,5,6,5,4,4
788,8,25,8,7,8,7
789,,,,,,34
791,,,,,,
792,,,,,,
793,,,,,,
796,,,,,,0
803,,,,,,5
804,30,35,27,35,26,32
808,,,,,,
809,,,,,,
811,,,,,,
813,,,,,,
819,,,,,,0
821,,,,,,
822,18,22,16,25,11,11
825,,,,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,,
832,28,34,26,,27,29
833,,,,,,
834,,,,,,0
836,,,,41,,
838,,,,31,,
841,,,,,,
844,,,,,,
845,,,,,,
846,,,,,,5
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,2,2,2,9,,2
856,,,,,,
862,,,,,,
863,,,,,,
864,,,,,,
867,,,,20,,16
868,22,23,,12,9,23
869,28,34,26,,27,29
871,,,,,,
879,,,,,,
881,15,,17,23,14,14
882,,,,,,
883,,,,,,
886,,,,,,
890,,,,,,
891,26,29,23,,21,8
893,,,,,,
894,,,,,,
896,,,,,,
897,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,,,,25,,11
904,,,,,,
912,,,,,,
914,,,,,,
916,,,,,,
922,,,,,,2
926,,,,,,
927,,,,,,
928,,,,,,
929,,,,,,
932,33,36,29,,33,21
933,,,,,,
938,,,,,,
940,,,,,,
941,,,,,,
942,,,,,,
944,,,,,,
946,,,,,,
947,,,,,,
949,,,,,,
951,,36,,,,21
952,,,,14,,13
956,,,,,,
959,,,,,,
961,,,,,,
962,,,,,,
965,,,,,,
967,,,,,,
968,,,,,,
971,,,,,,25
973,,,,,,
974,,,,,,
975,,,,,,
976,,,,,,
977,,,,,,
979,,,,,,
980,,,,16,,22
981,,,,,,8
983,,,,14,,13
985,,,,,,
987,,,,,,
988,,,,,,17
989,,,,,,2
990,,,,,,
991,,,,,,
992,,,,,,38
993,,,,,,
995,,,,,,
996,,,,,,18
997,1,3,1,1,0,
998,,,,,,
999,,,,,,
1000,,,,,,
1001,,,,,,
1003,,,,,,15
1004,,,,,,33
1008,,,,,,
1009,,,,,,
1011,,,,,,
1013,15,,17,23,14,14
1014,,,,,,
1015,,,,,,
1016,,,,,,
1017,,,,,,
1018,,,,,,
1019,,,,,,
1020,,,,,,
1021,,,,,,
1022,,,,,,
1023,,,,,,
1024,,,,,,
1025,8,,8,7,8,7
1026,,,,,,39
1027,,,,,,
1028,,,,,,
1029,,,,,,
1030,,,,,,
1032,,,,,,
1033,,,,,,
1034,,,,,,
1035,,,,,,
1038,,,,,,33
1040,,,,,,
1041,,,,,,
1043,,,,,,
1044,,,,,,2
1045,,,,43,,39
1046,,,,,,
1047,,,,,,37
1048,,,,,,
1049,,,,,,
1051,,,,,,
1052,,,,,,
1053,,,,,,
1054,,,,,,
1055,,,,,,10
1056,,,,44,,
1057,,,,,,
1058,,,,,,
1060,,,,,,
1061,,,,,,
1062,,,,,,
1063,,,,,,
1064,,,,,,
1065,,,,,,
1066,,,,,,22
1067,,,,,,
1068,,,,15,,
1069,,,,,,3
1070,,,,,,11
1073,,,,,,
1074,,,,,,
1075,,,,,,3
1076,,,,,,
1077,,,,,,
1078,,,,,,
1079,,,,,,
1080,,,,,,
1081,,,,,,
1082,,,,,,
1083,,,,,,
1084,,,,,,
1085,,,,,,
1086,,,,,,
1087,,,,,,
1088,,,,,,
1090,,,,,,
1091,,,,,,
1092,20,18,13,19,15,
1093,,,,,,
1094,,,,,,
1095,,,,,,
1096,,,,,,
1097,,,,,,
1098,,,,,,
1099,,,,16,,22
1231,,,,,,
1272,,11,,13,,9
1273,,,,,,
1294,,,,,,
1329,,,,,,
1334,,,,,,
1339,,,,,,
1347,,,,41,,
1351,,,,,,
1359,,,,,,
1397,,,,,,
1401,,,,,,
1445,,,,,,
1490,,,,34,,
1508,5,6,5,6,3,6
1511,,,,,,
1591,,,,,,
1626,,,,,,
1646,,,,,,
1652,,,,,,
1653,,,,,,
1656,,,,,,
1668,,,,0,,
1669,,,,0,,
1670,,,,33,,
1672,,,,,,
1673,,,,0,,
1674,,,,,,
1675,,,,,,
1676,,,,0,,
1677,,,,,,
1678,,11,,13,,9
1679,,,,0,,
1681,,,,,,
1683,,,,,,
1684,,,,21,,
1685,,,,0,,
1687,,,,0,,
1689,,,,,,
1690,,,,,,
1691,,,,21,,
1692,,,,21,,
1695,,,,,,
1696,,,,0,,
1697,,,,,,
1699,,,,,,
1702,,,,44,,
1704,,,,,,
1707,,,,33,,
1708,29,33,25,32,25,28
1709,,,,,,
1710,,,,,,
1711,29,33,25,32,25,28
1712,,,,0,,
1713,7,7,4,4,2,
1714,,,,,,
1716,,,,,,
1717,,,,,,
1718,,,,0,,
1719,,,,,,
1721,,,,,,
1722,,,,,,
1723,,,,,,
1727,,32,,2,,31
1729,,,,,,
1730,,,,,,
1731,,,,,,
1736,4,,3,2,1,
1737,,,,,,
1742,,,,,,
1748,,,,,,
1749,6,5,6,5,4,4
1750,,,,18,,
1752,,,,,,
1753,,,,9,,
1755,,,,,,
1756,,,,,,
1757,,,,,,
1758,,,,,,
1759,,,,,,
