Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
426,,,,,,
427,,,,,,
428,,,,,,
430,,,,,,
431,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,636.2973,636.2973,636.2973,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,460.3913,,,
452,,,460.3914,,,
453,,,858.7666,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,102.9966,
458,,,,,,
459,,,,,,
460,,,,,,
462,,,,,,
463,,,832.753,,,
464,,,,,,
465,,,,,,
466,,517.1735,517.1735,,,
467,,,,,,
469,,,460.392,,,
470,,,,,,
471,,,,,,
472,,,,,,
474,,,460.3911,,,
475,,,,,,
476,,,,,,
478,,,157.9539,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,157.9538,,,
484,,,144.0236,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
493,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,135.0917,,,,
504,,352.1882,,,,
506,,352.1882,,,,
508,140.9509,140.9509,140.9509,140.9509,140.9509,140.9509
510,138.9803,138.9803,138.9803,138.9803,138.9803,138.9803
512,,352.187,,,,
514,,,,,,
515,,352.1883,,,,
517,,,,,,
521,342.0901,684.1801,342.0901,684.1801,342.0901,684.1801
523,,,,,,
526,,,,,,
527,,352.1899,,,,
528,162.0312,162.0312,162.0312,162.0312,162.0312,162.0312
530,,154.099,,,,
531,,135.093,,,,
532,254.9369,,254.9369,254.9369,254.9369,
533,,,,,,
534,,,,,,
535,,,,,,
544,,352.1881,,,,
545,,124.9788,,,,
547,,124.9787,,,,
549,536.142,536.142,,536.142,536.142,536.142
550,,124.9785,,,,144.0231
551,,,,,,
553,,,,,,
556,,284.1988,,,,284.1988
558,,,,,,
560,,,,,,
566,,,,,,106.0886
567,,289.1545,,,,289.1545
569,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
576,326.001,,,326.001,326.001,326.001
578,,124.9789,,,,
579,,,,,,
582,,124.9787,,,,
583,,354.2037,,,,
585,,,,,,
586,,124.9787,,,,
587,,,,,,
590,,,,,,
