Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
69,34,34,,,,0.0,0.0,singleton,,0.0
70,35,35,,,,0.0,0.0,singleton,,0.0
71,36,36,,,,0.0,0.0,singleton,,0.0
72,37,37,,,,0.0,0.0,singleton,,0.0
73,38,38,,,,0.0,0.0,singleton,,0.0
74,40,40,,,,0.0,0.0,singleton,,0.0
75,41,41,,,,0.0,0.0,singleton,,0.0
76,42,42,,,,0.0,0.0,singleton,,0.0
77,43,43,,,,0.0,0.0,singleton,,0.0
78,44,44,,,,0.0,0.0,singleton,,0.0
79,45,45,,,,0.0,0.0,singleton,,0.0
80,46,46,,,,0.0,0.0,singleton,,0.0
81,47,47,,,,0.0,0.0,singleton,,0.0
82,48,48,,,,0.0,0.0,singleton,,0.0
83,49,49,,,,0.0,0.0,singleton,,0.0
84,51,51,,,,0.0,0.0,singleton,,0.0
85,52,52,,,,0.0,0.0,singleton,,0.0
86,54,54,,,,0.0,0.0,singleton,,0.0
87,55,55,,,,0.0,0.0,singleton,,0.0
88,56,56,,,,0.0,0.0,singleton,,0.0
89,57,57,,,,0.0,0.0,singleton,,0.0
90,58,58,,,,0.0,0.0,singleton,,0.0
91,59,59,,,,0.0,0.0,singleton,,0.0
92,60,60,,,,0.0,0.0,singleton,,0.0
93,61,61,,,,0.0,0.0,singleton,,0.0
94,63,63,,,,0.0,0.0,singleton,,0.0
95,64,64,,,,0.0,0.0,singleton,,0.0
96,65,65,,,,0.0,0.0,singleton,,0.0
97,66,66,,,,0.0,0.0,singleton,,0.0
98,67,67,,,,0.0,0.0,singleton,,0.0
99,68,68,,,,0.0,0.0,singleton,,0.0
100,69,69,,,,0.0,0.0,singleton,,0.0
101,70,70,,,,0.0,0.0,singleton,,0.0
102,71,71,,,,0.0,0.0,singleton,,0.0
103,72,72,,,,0.0,0.0,singleton,,0.0
104,73,73,,,,0.0,0.0,singleton,,0.0
105,74,74,,,,0.0,0.0,singleton,,0.0
106,75,75,,,,0.0,0.0,singleton,,0.0
107,76,76,,,,0.0,0.0,singleton,,0.0
108,77,77,,,,0.0,0.0,singleton,,0.0
109,78,78,,,,0.0,0.0,singleton,,0.0
110,79,79,,,,0.0,0.0,singleton,,0.0
111,80,80,,,,0.0,0.0,singleton,,0.0
112,81,81,,,,0.0,0.0,singleton,,0.0
113,82,82,,,,0.0,0.0,singleton,,0.0
114,83,83,,,,0.0,0.0,singleton,,0.0
115,85,85,,,,0.0,0.0,singleton,,0.0
116,86,86,,,,0.0,0.0,singleton,,0.0
117,88,88,,,,0.0,0.0,singleton,,0.0
118,89,89,,,,0.0,0.0,singleton,,0.0
119,90,90,,,,0.0,0.0,singleton,,0.0
120,91,91,,,,0.0,0.0,singleton,,0.0
121,92,92,,,,0.0,0.0,singleton,,0.0
122,94,94,,,,0.0,0.0,singleton,,0.0
123,95,95,,,,0.0,0.0,singleton,,0.0
124,96,96,,,,0.0,0.0,singleton,,0.0
125,97,97,,,,0.0,0.0,singleton,,0.0
126,98,98,,,,0.0,0.0,singleton,,0.0
127,99,99,,,,0.0,0.0,singleton,,0.0
128,100,100,,,,0.0,0.0,singleton,,0.0
129,101,101,,,,0.0,0.0,singleton,,0.0
130,102,102,,,,0.0,0.0,singleton,,0.0
131,103,103,,,,0.0,0.0,singleton,,0.0
132,104,104,,,,0.0,0.0,singleton,,0.0
133,105,105,,,,0.0,0.0,singleton,,0.0
134,108,108,,,,0.0,0.0,singleton,,0.0
135,109,109,,,,0.0,0.0,singleton,,0.0
136,110,110,,,,0.0,0.0,singleton,,0.0
137,111,111,,,,0.0,0.0,singleton,,0.0
138,112,112,,,,0.0,0.0,singleton,,0.0
139,113,113,,,,0.0,0.0,singleton,,0.0
140,115,115,,,,0.0,0.0,singleton,,0.0
141,116,116,,,,0.0,0.0,singleton,,0.0
142,117,117,,,,0.0,0.0,singleton,,0.0
143,118,118,,,,0.0,0.0,singleton,,0.0
144,120,120,,,,0.0,0.0,singleton,,0.0
145,121,121,,,,0.0,0.0,singleton,,0.0
146,122,122,,,,0.0,0.0,singleton,,0.0
147,124,124,,,,0.0,0.0,singleton,,0.0
148,125,125,,,,0.0,0.0,singleton,,0.0
149,126,126,,,,0.0,0.0,singleton,,0.0
150,127,127,,,,0.0,0.0,singleton,,0.0
151,128,128,,,,0.0,0.0,singleton,,0.0
152,129,129,,,,0.0,0.0,singleton,,0.0
153,130,130,,,,0.0,0.0,singleton,,0.0
154,131,131,,,,0.0,0.0,singleton,,0.0
155,132,132,,,,0.0,0.0,singleton,,0.0
156,133,133,,,,0.0,0.0,singleton,,0.0
157,134,134,,,,0.0,0.0,singleton,,0.0
158,135,135,,,,0.0,0.0,singleton,,0.0
159,136,136,,,,0.0,0.0,singleton,,0.0
160,137,137,,,,0.0,0.0,singleton,,0.0
161,138,138,,,,0.0,0.0,singleton,,0.0
162,139,139,,,,0.0,0.0,singleton,,0.0
163,140,140,,,,0.0,0.0,singleton,,0.0
164,142,142,,,,0.0,0.0,singleton,,0.0
165,143,143,,,,0.0,0.0,singleton,,0.0
166,144,144,,,,0.0,0.0,singleton,,0.0
167,145,145,,,,0.0,0.0,singleton,,0.0
168,146,146,,,,0.0,0.0,singleton,,0.0
169,147,147,,,,0.0,0.0,singleton,,0.0
170,148,148,,,,0.0,0.0,singleton,,0.0
171,149,149,,,,0.0,0.0,singleton,,0.0
172,150,150,,,,0.0,0.0,singleton,,0.0
173,151,151,,,,0.0,0.0,singleton,,0.0
174,152,152,,,,0.0,0.0,singleton,,0.0
175,153,153,,,,0.0,0.0,singleton,,0.0
176,154,154,,,,0.0,0.0,singleton,,0.0
177,155,155,,,,0.0,0.0,singleton,,0.0
178,156,156,,,,0.0,0.0,singleton,,0.0
179,157,157,,,,0.0,0.0,singleton,,0.0
180,159,159,,,,0.0,0.0,singleton,,0.0
181,162,162,,,,0.0,0.0,singleton,,0.0
