row ID,row m/z,row retention time,POS_Cas11.mzXML Peak area,POS_Cas13.mzXML Peak area,POS_Cas24.mzXML Peak area,POS_Cas3.mzXML Peak area,POS_Cas4.mzXML Peak area,POS_Cas5.mzXML Peak area,POS_Cas6.mzXML Peak area,POS_Extrait2hexane.mzXML Peak area,POS_YSBlanc_MSMS.mzXML Peak area,POS_YSC4-512CCP6P_MSMS.mzXML Peak area,POS_YSC410MCP6P_MSMS.mzXML Peak area,POS_YSC511MCP6P_MSMS.mzXML Peak area,
44,311.22108116002,18.903066666666668,6.519695041224998E8,1.4993546321433607E8,0,9.955160794899215E8,1.0225457185598465E9,1178285.438749875,1.924201545203471E9,1.2215012412187656E7,0,1.9070364447906238E8,7.003498836781287E7,2.4285746439578164E8,
45,247.0572410275353,13.019533333333335,1.0038889300973748E9,5.801982614668742E7,0,0,1.1227849036726587E7,2.754990322300002E7,8.227999220781246E7,1.7018967331658134E9,0,1.0204220782058145E9,2.035789051522247E9,0,
46,427.32013397612775,29.92353333333333,7.937883839549993E8,3.3837890632968776E7,0,1.348365945725001E8,3348933.956562497,2.2547391763125166E7,3.84805723762499E7,1.3273795608434408E9,0,4.214053338912507E8,6.660756824187515E7,2.7965779345812565E8,
47,447.23699951171875,22.634357142857144,5.603219161800005E8,7534664.289062413,0,0,0,1.2565551595624933E7,1.5763693801000002E8,2.829259726037508E8,0,1.3409976527500074E7,0,1.774472737693753E8,
48,722.3057200113932,19.341402777777777,5.257831095618748E8,2.1702575276781255E8,9.122813971187514E7,2.1324897265062577E8,1.021957381168749E8,1.682699557537502E8,1.3813683593062514E8,9.144822760093792E7,1.2283732870562506E8,1.376733547756252E8,1.3223339996874996E8,1.4060072025187486E8,
49,227.09092957084147,39.314166666666665,1.9065836322812822E8,0,0,0,0,0,0,0,2.4679885504406282E8,7.68233876984336E8,0,0,
50,154.99001820882162,38.026125,1.2252756596137455E9,9.867301108187547E8,8.440669503124971E8,9.772817657224983E8,9.111625852499952E8,9.123840116718793E8,9.55563480083745E8,8.486958648218745E8,7.26122601174996E7,9.375875343375012E7,9.500449815000054E7,9.636365076250088E7,
51,293.2104378758758,19.37245454545455,5.559309916300001E8,2.6246937934304693E8,0,1.0876078534053118E9,1.4132661310376174E9,3.7613671159125032E9,3008591.9231875497,1.155461961937514E7,2.1005037604960926E7,2.8788893538781285E8,7.301739512062491E7,3.8328266793718666E8,
52,343.150887625558,20.182357142857143,4.569147297062516E7,3.428242643687498E7,0,0,0,7.638750091937478E7,1.7389054650937477E8,5.451063086743759E8,0,1.802993277749975E7,6.673121256712482E8,0,
53,447.23679281698696,18.634066666666662,2.3217554522124943E8,6513962.213749977,0,0,0,0,0,3.424365988437485E7,0,1.1543606834999915E7,0,1.8114309824125E8,
54,329.23155212402344,16.998666666666665,5.056430633499997E8,0,0,0,0,0,0,7647474.450312576,0,2.0092739683125075E7,1.4272029675000045E7,0,
55,268.2628987630208,29.82979166666667,2.2059666284375135E7,2.353108278562507E7,4.2885785456249356E7,4.7062477701499975E8,1.7346518290624917E7,1.9375112704374846E7,4.7878601747124934E8,4.1076724087499934E8,5.782729530968736E7,2.841908250330022E9,1.888968775420002E9,1.4974630021500152E8,
56,165.05449916452602,9.195646666666665,1.0439075308589389E9,1.2764282171437504E9,0,0,0,0,0,9174419.590171853,0,3.2506966268960037E9,1.796509439514376E9,0,
57,181.085218287083,10.708322222222222,3938516.986812462,4.8506912645304576E7,1.1664680275015633E8,0,0,0,0,1.018352866312499E7,0,1.842244102397251E9,0,4.400429886453134E7,
58,277.21561253141317,21.57821212121212,9.419744766600016E8,1.3237096373562495E8,0,4010185.4287500563,1.8773851346405492E9,5.851127231148298E9,1.5878898288681207E9,3.7813311254456267E9,6544753.694999966,3.234271839859354E7,5218214.015000055,5.107652009343726E7,
59,271.26259021064806,0.6597652777777777,2.1040906017000002E8,7.83277401029998E7,1.9180213940899998E8,4.1303107782600017E9,4.050779034211998E9,4.595284787327726E9,3.5129268449479995E9,1.1723503232400072E8,2.6953186088500023E9,2.65074412407E9,2.7213310678049974E9,2.6104358268580003E9,
60,418.2044734943501,17.049848484848486,2.8423995298749793E7,3849544.2793751177,1.0324713387500059E7,7539797.98562502,9078499.925624914,7774945.0946875885,9540965.515312498,1.173711883593739E7,0,7484926.067148369,3715867.6121876594,6388961.272695233,
61,228.10151138305665,23.2365,4.708450118950005E8,6.130393541737504E8,3.0455320156562433E7,6.471385858912497E8,3.2601872790062493E8,6.599932591406261E8,4.623942814556244E8,1.0409051909350626E10,0,5.362999788506238E8,9.780242706537474E8,0,
62,506.52853891427685,37.976486111111114,1.1401699177487493E9,9.522782290425037E8,2.282804180556262E8,3.7161059359749967E8,1.117914491975E8,1.5198469021562293E7,1.026768861421876E8,1.4595428856000003E8,1.78305598750076E7,7.893791225234574E7,4.399834328896474E7,1.776299637970629E7,
63,265.1429803727038,12.711854166666665,6.45931181669625E8,1.3784448358156363E7,0,0,0,0,0,0,0,4.477265225485955E7,0,7.672758152939528E8,
64,394.35188409241886,29.207666666666665,1.245202318390002E9,1.3483605352599976E9,2.4953971818062472E8,2.4439952720311966E7,3.0137298471249923E7,3.7504169789375104E7,7.474402931562498E7,1.7198250390499985E8,3.3261155028125074E7,1.2615029928156218E8,8.651764003187476E7,1.1673434562500004E8,
65,287.20009196780063,15.451903333333334,4.303473352038123E8,9579802.77918743,0,0,0,0,0,9297648.118062487,0,3.6088997919815636E8,0,2.2507815454812473E8,
66,289.1427476671007,24.203444444444443,4.5753123185000074E8,4.7132616295625106E7,0,1.4750288674624982E8,9.407948425843757E7,3.1360928483100023E9,5.030781066999973E7,6.1001292891874805E7,0,3970519.029062501,7624695.725625087,0,
67,435.1637725830078,11.190033333333334,7.460321093396878E8,0,0,0,0,0,0,0,0,1.3003785265053117E9,0,0,
68,681.3836059570312,20.977611111111113,3.587408558850001E8,0,0,0,0,0,0,6195912.281249893,0,0,0,1.2761428085937533E8,
69,223.9881862640381,0.6299097222222221,1.914554069287503E7,1.0025796835312482E7,8082869.185437488,4121265.7134375074,3336627.4282500045,4359573.25768749,3831414.0643437495,2405851.054843746,1.2272984278000005E7,2879089.584875008,1.3372336485187504E7,1.3094312965812502E7,
70,239.12739886957056,16.166104166666667,2.098654800968773E7,0,0,0,0,2.3777617536833994E7,0,6.2740667800687574E7,0,1.03318040193438E7,0,0,
71,353.1950138636998,19.78095238095238,9.089048627712498E8,3.9558599645937406E7,0,0,0,5.2396211619999945E7,5128064.075000024,8.33795342063125E8,0,8.47471463093751E7,1.1967302647799983E9,0,
72,430.1888427734375,20.86075,4.067232268746878E8,5683209.75625009,0,0,0,0,0,0,0,0,0,0,
73,361.1615525248057,17.693619047619045,1.0711708254775E9,1.5470472048562464E8,0,0,0,7.382332730437511E7,7.773568337218757E7,7.332701727343766E7,0,1.380964319472661E7,1.3427953925437543E8,0,
74,203.17919012476005,17.99037333333333,3.766509816606255E8,2.1594804421187382E7,0,0,0,0,0,6.674992930593772E7,0,2.6227133381562654E7,0,1.1271344649437572E8,
75,370.29463263946826,27.42953333333333,7.853959044799998E8,1.8333184871874858E7,0,1.782501033812498E7,9104220.41999992,2.8457338732812364E7,1.366850869871872E8,1.8371321473749936E7,0,1.3453719461500046E8,7.192387564781255E7,1.1714356607437463E8,
76,464.1590881347656,11.193608333333334,1.0348605282108119E9,0,0,0,0,0,0,0,0,1.5523553519001243E9,0,0,
77,307.15259646125395,17.548722222222224,7.736551836718746E8,1.64525385312499E7,0,0,0,5951846.633749983,1.4538569627499996E7,7.431975147812489E7,0,0,1.2304874377882783E8,0,
78,371.10032792524856,31.316878787878792,3.876796186312504E8,1.8728113661124983E8,4.6910170299687535E8,1.1567851345062527E8,1.616242003549998E8,1.5369120708625013E8,2.0867287418000045E8,1.4680665595687455E8,0,4.293148662187466E7,4.5595158242500104E7,1.5068876903124828E7,
79,247.13253618887092,16.269566666666666,3.469449447119377E8,1.878234299497189E8,0,0,4.9351861212749995E7,1.3343005258125005E7,2.051720585068747E7,1.550310603243748E7,0,2.3129624056914085E8,0,1.0751246962933443E9,
80,139.98769059092191,38.015986111111104,2.1627503186500204E8,2.443498879875001E8,2.762782056050023E8,2.5202936207562444E8,2.5088490894749543E8,2.433266894425013E8,2.4155245173687032E8,2.5107318976937345E8,1.6105635530426708E8,1.587535061966606E8,1.569490215190629E8,1.611661926031196E8,
81,628.1934093128551,33.07116666666666,4.331371277959382E8,4.847587886509387E8,6.317884743624976E8,3.186366515112479E8,3.2188059060499704E8,2.6241646722562405E8,3.289039940931273E8,3.120420154306253E8,0,3.120533050218709E7,2.9270725408124793E7,6165322.3443750525,
82,265.1430781169514,15.453616666666667,3.446200733418125E8,0,0,0,5621953.125375015,1.3573103653687473E7,2.965697812943744E7,1.1598859543093799E7,0,1.2101843291690612E8,0,1.0751905298674998E8,
83,431.24195861816406,25.363314814814817,3.348555139368752E8,2.5060394753687477E8,0,3.3133976349375166E7,2.6299186914562494E8,5.357267198124995E9,1.3861171390060032E10,1.0927843043522516E10,0,2.80364133605998E9,0,1.9642956766042484E10,
84,359.1057637532552,11.193583333333335,1.0700149898945608E9,0,0,0,0,0,0,2.2453039374406222E7,0,3.0133038136682506E9,0,0,
85,663.3125,20.232125,3.5834312841156226E8,0,0,0,0,0,1.1331947969374927E7,1.6700492575781256E8,0,0,1.1241626986124979E8,0,
86,225.07527705601282,13.038840476190476,4.6684079296062523E8,3.1763947743093718E7,0,0,0,3602490.732406218,2.0318902403499953E7,7.290198207097507E8,0,3.505044963816251E8,9.133136406186258E8,0,
87,309.16892395019534,19.041533333333334,3.3345945312062615E8,0,0,0,0,1.1378224164374929E7,0,1.7539474591250077E7,0,6391233.839062472,1.9427377466562394E7,0,
88,319.2263060776594,16.295556666666666,2.966458902068125E8,1.308290558768752E7,0,0,0,0,0,1.799918812381249E7,0,9.651336590636245E8,0,8.94740745792003E8,
89,356.0824267069499,13.014969444444445,4.558759465948127E8,6175463.332511717,0,0,0,0,1.2736496361781284E7,8.444899937307507E8,0,1.1969340498553762E9,1.6767149720383732E9,0,
90,355.2822259216372,29.12328333333333,3.757715678524994E8,1.9286884206875004E7,1.4569191377031256E7,5.9791744513124816E7,3127671.864999968,1.8223872336875014E7,3.688807225812502E7,3.8584809002162538E9,3.188127198595705E7,1.1746083515820312E8,0,0,
91,234.12336413065592,38.00277777777778,1.7269407641812804E8,2.2277069773000258E8,1.9380562732500073E8,2.1817575569874847E8,2.1294873476374757E8,2.1848483635750118E8,2.1579150162625E8,1.8769507966375044E8,5.075872690625061E7,4.896875153187542E7,4.7065895373124465E7,4.36309564575009E7,
92,174.0548061794705,2.599587037037037,2.2890418551074973E8,6.898381513074999E8,3515657.8526250264,0,0,0,5762376.60453126,5.308950626487505E7,6.4066902736687504E7,6.287023071518758E7,5677770.0768437525,8.036565049590634E7,
93,445.25750732421875,26.255222222222223,3.046391316637509E8,2.353826683100001E8,0,4.014087157249987E7,5.474753714562509E7,6.327788196840008E9,1.5546227684975008E10,1.1406396511085627E10,0,2.0628697899649978E9,0,1.488120558408001E10,
94,272.257719560103,20.78548484848485,2.6637558785562557E8,2.3500072248031163E8,3.1675632701875094E7,2.6556526087687507E8,5.6951091732500255E7,3.2328308742687446E8,3.1416695459749925E8,0,6.095214819499986E7,1.1347648724400039E9,7.285269290162505E8,5.1641136961499953E8,
95,592.3008219401041,16.55012638888889,2.8657478733074933E8,7.319762786246859E7,7.196192456293745E7,7.855727914053138E7,8.452358196137449E7,8.104951903725016E7,8.539698917075035E7,8.062201352143729E7,1.4608858076215616E8,1.6183714464874953E8,1.282350348439999E8,1.675583222867492E8,
96,377.32471011811157,29.202651515151512,6.98926217822502E8,6.831351374000002E8,1.7629419075312246E7,2.1655873176249973E7,0,1.1393004036875037E7,5.245259871406243E7,2.706631410512494E8,8514178.723125124,3.871310986249946E7,3.358262120468705E7,3.5276019095625125E7,
97,702.2119057395241,34.74936363636363,4.4989610225937456E8,3.8921523657874995E8,5.780709796462506E8,1.8384131424249804E8,2.1031230340187338E8,2.2297110318906382E8,2.3857246629437426E8,1.756716986543744E8,0,2.7541826303749837E7,3.1143867427187346E7,8714292.532187521,
98,330.1693429030941,19.82283333333333,2.910446627459373E8,0,0,0,0,0,0,7.580995251499984E7,0,0,7496902.120781227,0,
99,399.3072204589844,29.156569444444443,8.290489371424986E8,1.0498094459000003E9,5.773794821262491E8,1.523454150656254E7,2.7135425347812448E7,1.053793612874995E7,6.157460506687493E7,2.3562793707749978E8,1.389311058531266E7,7.102387999249989E7,4.887285217749976E7,6.874230946312505E7,
100,463.12957925779506,29.094545454545457,3.1208146489875096E8,2.2798046507937485E8,7.455908738299987E8,1.5394081582999972E8,2.321466687787495E8,2.009485652837505E8,2.5127406880999956E8,2.3670020214625037E8,0,1.6153250930625018E7,1.6742045427812483E7,5680684.044492142,
101,231.1376078606245,18.354483333333338,4.1289159902418745E8,2.9736483719647235E8,0,0,1.279146090417475E10,7.925833971294513E8,4.0833442109763436E9,0,0,1.1449869075187529E7,0,7.550502272537489E7,
102,699.3338928222656,17.550666666666665,5.665823343437499E8,2.3910294201250006E7,0,0,0,0,0,0,0,0,0,0,
103,393.31444475306506,30.90235416666667,3288122.7440625946,1.0680827863499992E8,0,0,0,4.837899052273452E7,2.961622876343763E7,7.829082397212887E8,0,2.7419527063750005E8,1.4983483520624984E7,1.8804855338625026E8,
104,351.21436530888434,17.332666666666668,3.847777860112482E8,2.3214249595624983E7,0,0,0,0,3.3428383359246075E8,5124473.5434374465,2.7703772585156314E7,2.5874618882484353E8,5.235213967375002E7,2.692712580900002E8,
105,189.05425453186035,13.033175,4.131693581708752E8,3.2586720556749973E7,0,0,0,7379414.269187503,2.457182608062497E7,7.070301215821259E8,0,1.9994686811861875E9,5.272710295966873E9,6796002.8405625755,
106,272.1484915587279,11.178158333333334,6.886022866175625E8,1.3218480264406152E7,0,0,0,0,0,2.0747090108343747E7,0,4.4916668366499975E7,0,0,
107,323.1846874777726,21.204566666666672,2.6010679976874977E8,0,0,0,0,0,4.766639991346096E8,1.210516932718751E7,0,2.612983417312497E7,0,5.704280415775E8,
108,403.21038818359375,16.6371,5.0052180723862493E8,0,0,0,0,0,0,0,0,7004791.7076876005,0,6.428665097574984E7,
109,384.3463312784831,32.491597222222225,3.3453154462812436E8,2.779972329490614E8,3517470.399062783,2.4686239539250168E8,1.8074471828187585E8,1.581194233274988E8,1.9177364494187465E8,2.2881917751375076E8,1.0620274048000005E8,1.1170505093875085E8,1.1770197715343602E8,9.896413150999846E7,
110,318.29943974812824,20.23988888888889,2.3198459352562517E8,2.2160699705249944E8,3.9042707363812584E8,2.6835168867437512E8,3.2516036707499813E7,4.1845506241374946E8,3.3280058168749976E8,1.7483920739062473E7,1.6077089168562442E8,2.13738302204312E9,1.2672214926806228E9,1.7506545331762507E9,
111,284.294189453125,33.32625757575758,3.347545616562487E8,2.604830930387503E8,4.9513919403124875E8,1.8214835077375004E8,1.518567097656244E8,1.3703626458562505E8,1.8132681490749943E8,1.7050820636875024E8,0,1.8072407865250256E9,4.095613669662512E8,1.8784936979799805E9,
112,270.27857716878253,31.620777777777775,3.48489028618125E8,3.0279558629999954E8,5.66527282372502E8,2.002621338475002E8,1.1979149302312514E8,1.7182606714625004E8,2.4227383106812462E8,1.679595327843741E8,4.059358467874989E7,3.1671213430899677E9,1.856124493764999E9,3.3036308481400228E9,
113,443.24187510946524,19.5765,5.938992368996869E8,0,0,0,0,0,0,4.4322335344375096E7,0,1.8273351712500043E7,0,1.0866269725374998E8,
114,363.1770477294922,20.965458333333334,3.22867939001874E8,0,0,0,0,0,0,4.909260135218755E7,0,4.213319796249993E7,0,1.5710798659281235E9,
115,263.23634338378906,28.97781944444444,2.696266101387499E8,2.2891984967375025E8,4.3729623577624947E8,1.942058608331252E8,1.962112764962493E8,2.1490128402593738E8,1.9847941097250012E8,1.2489820798750029E9,1.189085286812495E7,1.4170609933399994E9,8.826774634300023E8,4.2080774336874723E8,
116,313.1980514526367,21.171875000000004,2.5469458884375066E8,0,0,0,0,0,4508635.218750105,6436892.03656255,0,0,0,1.3986563414062347E7,
117,208.09661102294922,11.354029166666667,4.3821121908131194E8,0,0,0,0,0,0,0,0,5.770920342575006E7,3.2691464469625015E7,2.9378937093125008E7,
118,461.2521485656653,24.2202380952381,4.025327427656243E7,0,0,0,5595944.025625052,4013733.5093749957,1.8077037623687515E8,7.701000080124988E7,0,1.265515201093753E7,0,1.189474572076255E9,
