Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,0,258,2.0,0.0,0.0,3.303,39.0092,neg_singcos_edge,cosine_edge,,,0.66,NEG,0.66
1,0,192,3.0,0.0,0.0,0.112,1.997,neg_singcos_edge,cosine_edge,,,0.95,NEG,0.95
2,0,2,3.0,0.0,0.0,0.0,3.9939,neg_singcos_edge,cosine_edge,,,0.7,NEG,0.7
3,2,192,2.0,0.0,0.0,0.112,1.9969,neg_singcos_edge,cosine_edge,,,0.79,NEG,0.79
4,4,22,4.0,21.0,0.19,-0.697,89.9959,neg_frag_edge,frag_edge,,,89.9959,NEG,0.0
5,4,315,3.0,26.0,0.12,-1.636,88.9881,neg_frag_edge,frag_edge,,,88.9881,NEG,0.0
6,7,315,3.0,24.0,0.12,-0.883,43.9901,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
7,7,324,0.0,0.0,0.0,0.019,-145.9312,neg_cos_edge,cos_edge,,,0.9,NEG,0.9
8,8,23,9.0,42.0,0.21,0.008,43.9902,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
9,8,303,5.0,28.0,0.18,0.809,87.0089,neg_frag_edge,frag_edge,,,87.0089,NEG,0.0
10,8,348,0.0,0.0,0.0,0.586,-67.988,neg_cos_edge,cos_edge,,,0.53,NEG,0.53
11,8,479,7.0,0.0,0.0,185.589,269.2483,neg_singcos_edge,singcos_edge,,,0.69,NEG,0.69
12,8,53,3.0,0.0,0.0,1.251,71.014,neg_singcos_edge,singcos_edge,,,0.64,NEG,0.64
13,9,15,0.0,0.0,0.0,0.039,46.0054,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
14,9,496,8.0,0.0,0.0,12.363,0.0011,neg_singcos_edge,singcos_edge,,,0.99,NEG,0.99
15,9,401,9.0,0.0,0.0,39.403,46.0051,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
16,9,108,4.0,0.0,0.0,94.306,72.0391,neg_singcos_edge,singcos_edge,,,0.6,NEG,0.6
17,10,429,0.0,0.0,0.0,-9.595,10.0289,neg_cos_edge,cos_edge,,,0.93,NEG,0.93
18,10,270,0.0,0.0,0.0,-3.461,-129.9591,neg_cos_edge,cos_edge,,,0.78,NEG,0.78
19,11,302,3.0,18.0,0.17,0.054,129.959,neg_frag_edge,frag_edge,,,129.959,NEG,0.0
20,11,362,0.0,0.0,0.0,-5.317,-15.9723,neg_cos_edge,cos_edge,,,0.95,NEG,0.95
21,15,422,6.0,0.0,0.0,128.093,46.0055,neg_singcos_edge,singcos_edge,,,0.92,NEG,0.92
22,22,421,3.0,0.0,0.0,509.786,0.0,neg_singcos_edge,singcos_edge,,,0.63,NEG,0.63
23,23,303,5.0,31.0,0.16,0.801,43.0187,neg_frag_edge,frag_edge,,,43.0187,NEG,0.0
24,23,24,12.0,0.0,0.0,4.665,0.0131,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
25,24,31,4.0,28.0,0.14,-0.247,43.9898,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
26,27,315,3.0,26.0,0.12,-1.05,205.916,neg_frag_edge,frag_edge,,,205.916,NEG,0.0
27,27,7,4.0,17.0,0.24,-0.167,161.9259,neg_frag_edge,frag_edge,,,161.9259,NEG,0.0
28,36,247,0.0,0.0,0.0,9.287,46.0068,neg_cos_edge,cos_edge,,,0.59,NEG,0.59
29,40,37,0.0,0.0,0.0,0.201,-67.9872,neg_cos_edge,cos_edge,,,0.9,NEG,0.9
30,46,30,2.0,0.0,0.0,0.004,67.9873,neg_singcos_edge,singcos_edge,,,1.0,NEG,1.0
31,46,69,0.0,0.0,0.0,-0.009,-67.9874,neg_cos_edge,cos_edge,,,0.99,NEG,0.99
32,60,427,6.0,0.0,0.0,133.661,43.9902,neg_singcos_edge,cosine_edge,,,0.91,NEG,0.91
33,63,343,8.0,0.0,0.0,3.969,0.1405,neg_singcos_edge,cosine_edge,,,0.86,NEG,0.86
34,63,363,2.0,0.0,0.0,3.829,46.006,neg_singcos_edge,cosine_edge,,,0.82,NEG,0.82
35,65,148,2.0,0.0,0.0,231.152,80.3009,neg_singcos_edge,cosine_edge,,,0.68,NEG,0.68
36,66,66,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
37,72,72,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
38,75,303,6.0,18.0,0.33,-3.042,168.1569,neg_frag_edge,frag_edge,,,168.1569,NEG,0.0
39,75,338,5.0,16.0,0.31,-3.473,180.1569,neg_frag_edge,frag_edge,,,180.1569,NEG,0.0
40,75,311,4.0,20.0,0.2,-2.493,112.2209,neg_frag_edge,frag_edge,,,112.2209,NEG,0.0
41,81,81,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
42,84,206,0.0,0.0,0.0,0.005,10.029,neg_cos_edge,cos_edge,,,0.92,NEG,0.92
43,85,366,2.0,0.0,0.0,0.131,44.9806,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
44,93,93,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
45,104,104,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
46,110,507,3.0,0.0,0.0,56.538,42.0475,neg_singcos_edge,singcos_edge,,,0.77,NEG,0.77
