Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,004_Acetylportentol
40,326.9032,14.074,192200.0,-1,40.0,0,neg_adduct,adduct,0,[M-H]-,NEG,84.0,58,,,,,,,,,,,,,,,,,,,,,1512013.444
41,893.1561,435.599,426500.0,-1,41.0,0,neg_adduct,adduct,0,[M-H]-,NEG,85.0,101,,,,,,,,,,,,,,,,,,,,,2677696.1980000003
42,430.1717,164.306,143800.0,-1,42.0,0,neg_singleton,singleton,0,,NEG,86.0,-1,,,,,,,,,,,,,,,,,,,,,2220614.741
43,293.1767,205.107,475100.0,-1,43.0,0,neg_cossingleton,cossingleton,0,,NEG,88.0,81,,,,,,,,,,,,,,,,,,,,,3520210.4960000003
44,355.1757,191.645,194800.0,-1,44.0,0,neg_singleton,singleton,0,,NEG,89.0,-1,,,,,,,,,,,,,,,,,,,,,2001599.254
45,239.0589,455.328,123100.0,-1,45.0,0,neg_cossingleton,cossingleton,0,,NEG,91.0,109,,,,,,,,,,,,,,,,,,,,,2663090.812
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,559251.0744
47,142.9278,505.003,731100.0,1,47.0,0,neg_cossingleton,cossingleton,0,,NEG,93.0,1,,,,,,,,,,,,,,,,,,,,,2419293.832
48,743.1395,484.47,240800.0,-1,48.0,0,neg_cossingleton,cossingleton,0,,NEG,94.0,17,,,,,,,,,,,,,,,,,,,,,2032641.731
49,239.9025,4.147,107300.0,-1,49.0,0,neg_adduct,adduct,0,[M-H]-,NEG,95.0,82,,,,,,,,,,,,,,,,,,,,,3876803.556
50,173.9253,208.988,242500.0,1,50.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,96.0,81,,,,,,,,,,,,,,,,,,,,,3577987.913
51,291.1604,213.539,70200.0,-1,51.0,0,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,97.0,3,,,,,,,,,,,,,,,,,,,,,2555142.801
52,265.148,211.644,155800.0,-1,52.0,0,neg_cossingleton,cossingleton,0,,NEG,98.0,123,,,,,,,,,,,,,,,,,,,,,4126176.891
53,160.9171,504.354,328600.0,-1,53.0,0,neg_cossingleton,cossingleton,0,,NEG,99.0,1,,,,,,,,,,,,,,,,,,,,,1993864.031
54,258.9158,518.98,110200.0,-1,54.0,0,neg_adduct,adduct,0,[2M-H]-,NEG,100.0,122,,,,,,,,,,,,,,,,,,,,,4563719.572
55,244.8482,504.285,321300.0,-1,55.0,0,neg_cossingleton,cossingleton,0,,NEG,101.0,1,,,,,,,,,,,,,,,,,,,,,1181964.74
57,171.9462,211.662,110500.0,1,57.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,105.0,81,,,,,,,,,,,,,,,,,,,,,3324865.026
59,184.8629,504.339,467400.0,1,59.0,0,neg_cossingleton,cossingleton,0,,NEG,113.0,28,,,,,,,,,,,,,,,,,,,,,829783.4554
60,151.039,6.59,326100.0,-1,60.0,0,neg_cossingleton,cossingleton,0,,NEG,114.0,123,,,,,,,,,,,,,,,,,,,,,2915998.253
61,186.1125,75.61,78400.0,-1,61.0,0,neg_cossingleton,cossingleton,0,,NEG,116.0,120,,,,,,,,,,,,,,,,,,,,,1078648.038
62,521.0812,448.137,108900.0,-1,62.0,0,neg_adduct,adduct,0,[M-H]-,NEG,117.0,22,,,,,,,,,,,,,,,,,,,,,1897552.147
63,228.9938,500.033,142500.0,-1,63.0,0,neg_cossingleton,cossingleton,0,,NEG,119.0,123,,,,,,,,,,,,,,,,,,,,,2584467.844
64,239.0591,502.062,101600.0,-1,64.0,0,neg_cossingleton,cossingleton,0,,NEG,120.0,109,,,,,,,,,,,,,,,,,,,,,1848944.65
66,132.8665,15.528,246300.0,1,66.0,0,neg_singleton,singleton,0,,NEG,122.0,-1,,,,,,,,,,,,,,,,,,,,,1641685.5990000002
67,180.9725,3.988,114700.0,1,67.0,0,neg_cossingleton,cossingleton,0,,NEG,123.0,112,,,,,,,,,,,,,,,,,,,,,2621403.222
68,1025.1626,476.545,335300.0,-1,68.0,0,neg_adduct,adduct,0,[M-H]-,NEG,124.0,102,,,,,,,,,,,,,,,,,,,,,1162008.607
69,452.9224,13.904,402500.0,-1,69.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,127.0,74,,,,,,,,,,,,,,,,,,,,,292373.4029
