Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
47,68,260,2.0,0.0,0.0,31.06,1.0005,neg_singcos_edge,singcos_edge,,,0.87,NEG,0.87
48,71,288,2.0,0.0,0.0,10.999,16.1964,neg_singcos_edge,cosine_edge,,,0.83,NEG,0.83
49,72,72,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
50,78,78,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
51,84,206,0.0,0.0,0.0,0.005,10.029,neg_cos_edge,cos_edge,,,0.92,NEG,0.92
52,92,515,3.0,26.0,0.12,-0.515,189.9218,neg_frag_edge,frag_edge,,,189.9218,NEG,0.0
53,92,211,4.0,20.0,0.2,-1.154,145.9319,neg_frag_edge,frag_edge,,,145.9319,NEG,0.0
54,93,93,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
55,98,427,2.0,0.0,0.0,119.857,49.9318,neg_singcos_edge,cosine_edge,,,0.63,NEG,0.63
56,98,278,2.0,0.0,0.0,143.65,15.9693,neg_singcos_edge,cosine_edge,,,0.6,NEG,0.6
57,100,100,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
58,101,236,2.0,0.0,0.0,0.074,93.9348,neg_singcos_edge,cosine_edge,,,0.98,NEG,0.98
59,101,215,2.0,0.0,0.0,0.449,91.9348,neg_singcos_edge,cosine_edge,,,0.98,NEG,0.98
60,101,197,2.0,0.0,0.0,159.365,82.1451,neg_singcos_edge,cosine_edge,,,0.63,NEG,0.63
61,101,105,2.0,0.0,0.0,0.002,1.9977,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
62,104,104,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
63,105,197,2.0,0.0,0.0,159.367,80.1474,neg_singcos_edge,cosine_edge,,,0.66,NEG,0.66
64,105,236,2.0,0.0,0.0,0.072,91.9371,neg_singcos_edge,cosine_edge,,,0.97,NEG,0.97
65,105,215,2.0,0.0,0.0,0.447,89.9371,neg_singcos_edge,cosine_edge,,,0.97,NEG,0.97
66,114,114,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
67,125,303,5.0,22.0,0.23,1.629,183.908,neg_frag_edge,frag_edge,,,183.908,NEG,0.0
68,128,129,0.0,0.0,0.0,0.087,46.0058,neg_cos_edge,cos_edge,,,0.9,NEG,0.9
69,128,136,3.0,0.0,0.0,36.184,90.0507,neg_singcos_edge,singcos_edge,,,0.82,NEG,0.82
70,129,273,4.0,35.0,0.11,0.194,90.0507,neg_frag_edge,frag_edge,,,90.0507,NEG,0.0
71,162,213,3.0,31.0,0.1,-2.105,88.9879,neg_frag_edge,frag_edge,,,88.9879,NEG,0.0
72,162,198,6.0,0.0,0.0,2.366,27.9946,neg_singcos_edge,singcos_edge,,,0.83,NEG,0.83
73,168,492,3.0,26.0,0.12,-4.618,145.9312,neg_frag_edge,frag_edge,,,145.9312,NEG,0.0
74,186,306,3.0,21.0,0.14,2.043,107.9938,neg_frag_edge,frag_edge,,,107.9938,NEG,0.0
75,191,190,5.0,0.0,0.0,40.105,14.0153,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
76,191,230,2.0,0.0,0.0,31.141,38.016,neg_singcos_edge,singcos_edge,,,0.99,NEG,0.99
77,192,258,2.0,0.0,0.0,3.191,37.0122,neg_singcos_edge,cosine_edge,,,0.62,NEG,0.62
78,192,212,2.0,0.0,0.0,491.917,1.997,neg_singcos_edge,cosine_edge,,,0.94,NEG,0.94
79,192,210,5.0,0.0,0.0,491.917,0.0001,neg_singcos_edge,cosine_edge,,,0.99,NEG,0.99
80,194,248,2.0,0.0,0.0,30.13,119.9346,neg_singcos_edge,singcos_edge,,,0.83,NEG,0.83
81,194,193,8.0,33.0,0.24,0.0,90.0506,neg_frag_edge,frag_edge,,,90.0506,NEG,0.0
82,195,193,7.0,32.0,0.22,-1.406,136.0565,neg_frag_edge,frag_edge,,,136.0565,NEG,0.0
83,195,194,0.0,0.0,0.0,-1.406,46.0059,neg_cos_edge,cos_edge,,,0.92,NEG,0.92
84,195,99,8.0,0.0,0.0,13.572,222.0574,neg_singcos_edge,singcos_edge,,,0.95,NEG,0.95
85,199,233,0.0,0.0,0.0,-2.026,-67.9875,neg_cos_edge,cos_edge,,,0.69,NEG,0.69
86,199,223,6.0,0.0,0.0,24.007,0.0003,neg_singcos_edge,singcos_edge,,,0.77,NEG,0.77
87,199,249,3.0,0.0,0.0,507.977,0.0002,neg_singcos_edge,singcos_edge,,,0.66,NEG,0.66
88,202,202,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
89,203,247,3.0,25.0,0.12,8.88,312.1078,neg_frag_edge,frag_edge,,,312.1078,NEG,0.0
90,204,262,3.0,0.0,0.0,293.065,1.9957,neg_singcos_edge,singcos_edge,,,0.92,NEG,0.92
91,204,532,4.0,0.0,0.0,496.365,0.0004,neg_singcos_edge,singcos_edge,,,0.98,NEG,0.98
92,204,259,3.0,0.0,0.0,26.653,27.9957,neg_singcos_edge,singcos_edge,,,0.92,NEG,0.92
93,204,21,3.0,0.0,0.0,0.862,27.9952,neg_singcos_edge,singcos_edge,,,0.98,NEG,0.98
94,204,241,3.0,0.0,0.0,326.644,0.0002,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
95,204,238,4.0,0.0,0.0,326.488,1.9958,neg_singcos_edge,singcos_edge,,,0.87,NEG,0.87
96,204,232,4.0,0.0,0.0,25.534,0.0002,neg_singcos_edge,singcos_edge,,,0.99,NEG,0.99
97,204,229,3.0,0.0,0.0,334.527,11.9428,neg_singcos_edge,singcos_edge,,,0.88,NEG,0.88
98,205,515,4.0,25.0,0.16,0.663,88.9879,neg_frag_edge,frag_edge,,,88.9879,NEG,0.0
99,205,209,6.0,0.0,0.0,0.008,27.995,neg_singcos_edge,singcos_edge,,,0.81,NEG,0.81
100,207,213,4.0,34.0,0.12,-0.265,43.99,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
101,207,133,0.0,0.0,0.0,3.623,-67.9884,neg_cos_edge,cos_edge,,,0.94,NEG,0.94
