Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
266,985,655,7.0,0.0,0.0,0.697,88.0529,pos_singcos_edge,singcos_edge,,,0.9,POS,0.9
267,985,1210,3.0,0.0,0.0,232.197,228.0486,pos_singcos_edge,singcos_edge,,,0.75,POS,0.75
268,985,1153,8.0,0.0,0.0,15.507,102.0687,pos_singcos_edge,singcos_edge,,,0.62,POS,0.62
269,985,706,6.0,0.0,0.0,1.444,264.1579,pos_singcos_edge,singcos_edge,,,0.79,POS,0.79
270,985,654,8.0,0.0,0.0,5.762,44.0267,pos_singcos_edge,singcos_edge,,,0.95,POS,0.95
271,985,1497,4.0,0.0,0.0,268.666,36.1088,pos_singcos_edge,singcos_edge,,,0.76,POS,0.76
272,985,745,3.0,0.0,0.0,220.239,20.9252,pos_singcos_edge,singcos_edge,,,0.69,POS,0.69
273,985,743,3.0,0.0,0.0,224.01,316.1011,pos_singcos_edge,singcos_edge,,,0.69,POS,0.69
274,985,689,6.0,0.0,0.0,45.862,45.0575,pos_singcos_edge,singcos_edge,,,0.9,POS,0.9
275,985,1398,9.0,0.0,0.0,4.127,132.0794,pos_singcos_edge,singcos_edge,,,0.91,POS,0.91
276,985,1197,3.0,0.0,0.0,248.16,95.9698,pos_singcos_edge,singcos_edge,,,0.77,POS,0.77
277,987,678,6.0,27.0,0.22,-0.254,33.0343,pos_frag_edge,frag_edge,,,33.0343,POS,0.0
278,989,989,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
279,995,1050,21.0,50.0,0.42,0.242,17.0267,pos_frag_edge,frag_edge,,,17.0267,POS,0.0
280,1001,584,23.0,0.0,0.0,493.052,9.0003,pos_singcos_edge,singcos_edge,,,0.88,POS,0.88
281,1001,589,26.0,59.0,0.44,1.547,18.0104,pos_frag_edge,frag_edge,H2O,,H2O,POS,0.0
282,1050,1527,4.0,0.0,0.0,191.734,395.0214,pos_singcos_edge,singcos_edge,,,0.6,POS,0.6
283,1050,618,3.0,0.0,0.0,7.009,367.0264,pos_singcos_edge,singcos_edge,,,0.61,POS,0.61
284,1050,995,0.0,0.0,0.0,-0.242,-17.0267,pos_cos_edge,cos_edge,,,0.99,POS,0.99
285,1084,718,17.0,0.0,0.0,24.041,88.0341,pos_singcos_edge,singcos_edge,,,0.69,POS,0.69
286,1084,861,21.0,0.0,0.0,8.238,74.0185,pos_singcos_edge,singcos_edge,,,0.89,POS,0.89
287,1084,1311,21.0,0.0,0.0,33.749,74.0172,pos_singcos_edge,singcos_edge,,,0.76,POS,0.76
288,1093,638,17.0,0.0,0.0,48.092,57.9884,pos_singcos_edge,singcos_edge,,,0.9,POS,0.9
289,1093,1022,10.0,36.0,0.28,-0.129,257.0946,pos_frag_edge,frag_edge,,,257.0946,POS,0.0
290,1093,605,12.0,0.0,0.0,42.714,15.9943,pos_singcos_edge,singcos_edge,,,0.95,POS,0.95
291,1100,1354,11.0,0.0,0.0,1.841,29.0027,pos_singcos_edge,singcos_edge,,,0.64,POS,0.64
292,1100,570,15.0,35.0,0.43,-2.501,41.0266,pos_frag_edge,frag_edge,,,41.0266,POS,0.0
293,1100,570,0.0,0.0,0.0,-2.501,41.0266,pos_cos_edge,cos_edge,,,0.98,POS,0.98
294,1107,695,0.0,0.0,0.0,-0.052,-21.9818,pos_cos_edge,cos_edge,,,0.39,POS,0.39
295,1107,738,9.0,33.0,0.27,-0.861,44.027,pos_frag_edge,frag_edge,,,44.027,POS,0.0
296,1107,627,4.0,0.0,0.0,52.082,0.0599,pos_singcos_edge,singcos_edge,,,0.63,POS,0.63
297,1113,1134,0.0,0.0,0.0,0.377,41.0268,pos_cos_edge,cos_edge,,,0.82,POS,0.82
298,1113,1134,14.0,61.0,0.23,0.377,41.0268,pos_frag_edge,frag_edge,,,41.0268,POS,0.0
299,1127,1127,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
300,1130,1140,6.0,0.0,0.0,9.318,28.0317,pos_singcos_edge,cosine_edge,,,0.78,POS,0.78
301,1133,651,0.0,0.0,0.0,-0.201,-15.9738,pos_cos_edge,cos_edge,,,0.98,POS,0.98
302,1142,1208,7.0,40.0,0.17,-5.393,109.0561,pos_frag_edge,frag_edge,,,109.0561,POS,0.0
303,1158,1158,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
304,1159,1159,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
305,1175,641,2.0,0.0,0.0,1.235,45.058,pos_singcos_edge,cosine_edge,,,0.95,POS,0.95
306,1199,1199,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
307,1209,1137,0.0,0.0,0.0,-0.042,-17.0262,pos_cos_edge,cos_edge,,,0.99,POS,0.99
308,1221,1022,7.0,28.0,0.25,-0.003,240.0668,pos_frag_edge,frag_edge,,,240.0668,POS,0.0
309,1221,1093,0.0,0.0,0.0,0.126,-17.0278,pos_cos_edge,cos_edge,,,0.95,POS,0.95
310,1278,1526,0.0,0.0,0.0,-0.282,-17.0266,pos_cos_edge,cos_edge,,,0.96,POS,0.96
311,1282,1282,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
312,1300,920,9.0,25.0,0.36,0.336,32.0263,pos_frag_edge,frag_edge,CH3OH,,CH3OH,POS,0.0
313,1300,920,0.0,0.0,0.0,0.336,32.0263,pos_cos_edge,cos_edge,,,0.98,POS,0.98
314,1304,1304,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
315,1317,1303,9.0,0.0,0.0,6.226,14.0152,pos_singcos_edge,singcos_edge,,,0.96,POS,0.96
316,1335,774,19.0,0.0,0.0,134.198,0.0,pos_singcos_edge,singcos_edge,,,0.99,POS,0.99
317,1338,571,7.0,0.0,0.0,0.421,17.9722,pos_singcos_edge,singcos_edge,,,0.61,POS,0.61
318,1338,1335,0.0,0.0,0.0,0.111,41.0276,pos_cos_edge,cos_edge,,,0.87,POS,0.87
319,1340,579,21.0,59.0,0.36,-0.703,82.0536,pos_frag_edge,frag_edge,,,82.0536,POS,0.0
320,1340,563,23.0,57.0,0.4,-0.201,41.0271,pos_frag_edge,frag_edge,,,41.0271,POS,0.0
321,1340,911,6.0,41.0,0.15,-0.897,86.0247,pos_frag_edge,frag_edge,,,86.0247,POS,0.0
322,1340,563,0.0,0.0,0.0,-0.201,41.0271,pos_cos_edge,cos_edge,,,0.88,POS,0.88
323,1353,923,0.0,0.0,0.0,-0.254,41.0265,pos_cos_edge,cos_edge,,,0.96,POS,0.96
324,1366,615,0.0,0.0,0.0,-0.616,-17.0263,pos_cos_edge,cos_edge,,,0.71,POS,0.71
325,1366,1380,4.0,0.0,0.0,219.038,396.2827,pos_singcos_edge,singcos_edge,,,0.74,POS,0.74
326,1366,639,7.0,0.0,0.0,0.158,45.0579,pos_singcos_edge,singcos_edge,,,0.77,POS,0.77
327,1382,1120,14.0,52.0,0.27,-0.248,18.0106,pos_frag_edge,frag_edge,H2O,,H2O,POS,0.0
328,1388,659,2.0,0.0,0.0,86.948,0.0002,pos_singcos_edge,singcos_edge,,,1.0,POS,1.0
329,1388,573,0.0,0.0,0.0,-0.057,-123.0795,pos_cos_edge,cos_edge,,,1.0,POS,1.0
330,1402,721,10.0,0.0,0.0,29.057,222.0564,pos_singcos_edge,singcos_edge,,,0.93,POS,0.93
331,1419,1444,2.0,0.0,0.0,4.657,109.9529,pos_singcos_edge,singcos_edge,,,0.96,POS,0.96
332,1419,948,2.0,0.0,0.0,83.096,60.1062,pos_singcos_edge,singcos_edge,,,0.87,POS,0.87
333,1433,1035,29.0,0.0,0.0,16.826,74.0215,pos_singcos_edge,singcos_edge,,,0.95,POS,0.95
334,1433,1351,28.0,0.0,0.0,6.263,134.0205,pos_singcos_edge,singcos_edge,,,0.88,POS,0.88
335,1433,1154,21.0,0.0,0.0,2.219,194.0818,pos_singcos_edge,singcos_edge,,,0.75,POS,0.75
336,1433,1430,25.0,0.0,0.0,55.061,222.0585,pos_singcos_edge,singcos_edge,,,0.94,POS,0.94
337,1433,673,14.0,0.0,0.0,16.681,164.0344,pos_singcos_edge,singcos_edge,,,0.9,POS,0.9
338,1433,751,26.0,0.0,0.0,31.374,430.0953,pos_singcos_edge,singcos_edge,,,0.82,POS,0.82
339,1433,918,29.0,0.0,0.0,10.518,59.9996,pos_singcos_edge,singcos_edge,,,0.89,POS,0.89
340,1433,916,27.0,0.0,0.0,43.943,88.0361,pos_singcos_edge,singcos_edge,,,0.9,POS,0.9
341,1433,1084,0.0,0.0,0.0,0.869,32.028,pos_cos_edge,cos_edge,,,0.75,POS,0.75
342,1433,724,15.0,0.0,0.0,9.064,148.0349,pos_singcos_edge,singcos_edge,,,0.95,POS,0.95
343,1433,710,20.0,0.0,0.0,23.339,222.0537,pos_singcos_edge,singcos_edge,,,0.96,POS,0.96
344,1433,708,12.0,0.0,0.0,29.537,58.0221,pos_singcos_edge,singcos_edge,,,0.86,POS,0.86
345,1433,1286,28.0,0.0,0.0,12.418,282.0582,pos_singcos_edge,singcos_edge,,,0.83,POS,0.83
346,1433,940,29.0,0.0,0.0,28.885,208.0387,pos_singcos_edge,singcos_edge,,,0.89,POS,0.89
347,1433,692,15.0,0.0,0.0,16.484,148.0347,pos_singcos_edge,singcos_edge,,,0.96,POS,0.96
348,1433,600,27.0,0.0,0.0,21.143,116.0089,pos_singcos_edge,singcos_edge,,,0.8,POS,0.8
349,1454,703,5.0,25.0,0.2,-0.057,56.0625,pos_frag_edge,frag_edge,C4H8,,C4H8,POS,0.0
350,1455,1455,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
351,1495,1495,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
352,1552,1552,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
353,1562,140,0.0,0.0,0.0,0.0,66.9802,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
354,1562,117,0.0,0.0,0.0,0.0,-1.0085,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
355,1562,672,0.0,0.0,0.0,0.0,22.9894,pos_add_edge,add_edge,,[M+Na]+,[M+Na]+,POS,0.0
356,1562,596,0.0,0.0,0.0,0.0,1.0071,pos_add_edge,add_edge,,[M+H]+,[M+H]+,POS,0.0
357,1562,715,0.0,0.0,0.0,0.0,59.0624,pos_add_edge,add_edge,,[M+NH4+CH3CN]+,[M+NH4+CH3CN]+,POS,0.0
358,1562,588,0.0,0.0,0.0,0.0,18.0341,pos_add_edge,add_edge,,[M+NH4]+,[M+NH4]+,POS,0.0
359,1563,37,0.0,0.0,0.0,0.0,66.9795,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
360,1563,40,0.0,0.0,0.0,0.0,-1.0077,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
361,1564,211,0.0,0.0,0.0,0.0,44.9971,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
362,1566,429,0.0,0.0,0.0,0.0,34.9685,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
363,1567,303,0.0,0.0,0.0,0.0,-1.0086,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
364,1567,307,0.0,0.0,0.0,0.0,166.9055,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
365,1567,39,0.0,0.0,0.0,0.0,182.8793,neg_add_edge,add_edge,,[2M-2H+K]-,[2M-2H+K]-,NEG,0.0
366,1568,7,0.0,0.0,0.0,0.0,44.9973,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
367,1568,324,0.0,0.0,0.0,0.0,190.9285,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
368,1569,11,0.0,0.0,0.0,0.0,20.9749,neg_add_edge,add_edge,,[M-2H+Na]-,[M-2H+Na]-,NEG,0.0
369,1569,362,0.0,0.0,0.0,0.0,36.9472,neg_add_edge,add_edge,,[M-2H+K]-,[M-2H+K]-,NEG,0.0
370,1570,302,0.0,0.0,0.0,0.0,-1.0081,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
371,1570,330,0.0,0.0,0.0,0.0,66.98,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
372,1571,46,0.0,0.0,0.0,0.0,-1.0078,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
373,1572,196,0.0,0.0,0.0,0.0,-1.0075,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
374,1572,575,0.0,0.0,0.0,3.489,18.0338,pos_add_edge,add_edge,,[M+NH4]+,[M+NH4]+,POS,0.0
375,1572,16,0.0,0.0,0.0,0.0,44.9976,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
376,1573,36,0.0,0.0,0.0,0.0,44.9984,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
377,1573,62,0.0,0.0,0.0,0.0,-1.0085,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
378,1574,5,0.0,0.0,0.0,0.0,120.4039,neg_add_edge,add_edge,,[2M+Cl]-,[2M+Cl]-,NEG,0.0
379,1574,312,0.0,0.0,0.0,0.0,130.4329,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
380,1575,338,0.0,0.0,0.0,0.0,34.9686,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
381,1575,125,0.0,0.0,0.0,0.0,230.8766,neg_add_edge,add_edge,,[3M+Cl]-,[3M+Cl]-,NEG,0.0
382,1576,38,0.0,0.0,0.0,0.0,121.9072,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
383,1576,311,0.0,0.0,0.0,0.0,99.9251,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
384,1577,306,0.0,0.0,0.0,0.0,-1.0077,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
385,1578,318,0.0,0.0,0.0,0.0,-1.0079,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
386,1579,142,0.0,0.0,0.0,0.0,66.9792,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
387,1579,120,0.0,0.0,0.0,0.0,166.9054,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
388,1579,137,0.0,0.0,0.0,0.0,182.8796,neg_add_edge,add_edge,,[2M-2H+K]-,[2M-2H+K]-,NEG,0.0
389,1580,128,0.0,0.0,0.0,0.0,351.0684,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
390,1580,129,0.0,0.0,0.0,0.0,305.0626,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
391,1580,748,0.0,0.0,0.0,1.278,329.0592,pos_add_edge,add_edge,,[2M+Na]+,[2M+Na]+,POS,0.0
392,1581,936,0.0,0.0,0.0,0.984,360.1243,pos_add_edge,add_edge,,[2M+NH4]+,[2M+NH4]+,POS,0.0
393,1581,194,0.0,0.0,0.0,0.0,341.0819,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
394,1582,308,0.0,0.0,0.0,0.0,34.9688,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
