feature_id,row m/z,rtinseconds,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
32,134.86403080000002,8.486683333,8091613.728999999,8444804.081,8114565.425,0.0,0.0,0.0
33,134.8933163,8.4189125,8787823.45,5661646.661,0.0,0.0,0.0,0.0
34,132.8664907,8.486366667,8291207.497,8301382.1620000005,8058481.135,0.0,0.0,0.0
35,369.1917725,2.800333333,17134526.16,0.0,0.0,0.0,0.0,0.0
36,178.9766439,8.532994444,24410492.07,24564643.16,29199587.04,0.0,0.0,0.0
37,507.1216456,6.163511111,14526374.58,11382145.22,0.0,0.0,0.0,0.0
38,242.9429817,8.422458333,4168086.0560000003,4074778.1560000004,4313127.632,3820793.441,0.0,0.0
39,461.11587910000003,6.166233332999999,6521008.191000001,4526343.716,49357644.78,0.0,0.0,0.0
40,789.1442627,7.42732,5432813.938999999,10098912.25,6878906.112000001,0.0,0.0,0.0
41,414.1767273,3.527283333,17223268.11,0.0,0.0,0.0,0.0,0.0
42,209.8330205,8.457427778,4038554.4469999997,4751973.45,4815356.818,0.0,0.0,0.0
43,192.9279424,8.425698485,4800151.233,4594236.654,4737537.914,4804602.72,0.0,4312828.164
44,180.9723511,8.530438889,18181399.9,18474036.66,18788723.18,0.0,0.0,0.0
45,833.1898102000001,7.630336667000001,9349205.508,6684408.735,13099057.25,0.0,0.0,0.0
46,789.1445719,7.6236277779999995,6813728.029,0.0,7875055.171,0.0,0.0,0.0
47,299.91895750000003,8.419966667,3807884.002,3435357.2860000003,3289658.228,3327480.416,0.0,0.0
48,235.92557069999998,0.051876667,17179532.3,0.0,16306796.72,0.0,0.0,0.0
49,206.97204169999998,8.515122222,15933704.64,16256157.33,15815449.03,0.0,0.0,0.0
50,145.9295872,8.548383333,16406919.62,17994698.71,17197762.86,0.0,0.0,0.0
51,187.9408592,8.426623333,8125076.061000001,7749184.647999999,8040894.663,6995345.406,0.0,8017046.976
52,125.8717537,8.462995832999999,4266223.801,5170488.617,5157610.451,5015742.464,0.0,0.0
53,187.92781580000002,8.504361111,14556180.66,17042775.67,16499260.88,0.0,0.0,0.0
54,187.0966326,1.751961111,7780260.932999999,7283707.085,7034971.867000001,0.0,0.0,0.0
55,207.9304199,0.048777778,14040192.66,0.0,13302580.47,0.0,0.0,0.0
56,222.8293381,8.463191667,1989088.261,2385649.24,0.0,0.0,0.0,0.0
57,190.92749019999997,0.027633333,12110333.52,9460212.297,0.0,0.0,0.0,0.0
58,132.9221172,8.424841667,2049602.0590000001,2048967.457,2195321.549,2161176.049,0.0,0.0
59,182.9018784,8.499183333,5323029.455,5760751.708,6124598.051,0.0,0.0,0.0
60,369.19174189999995,3.527283333,5158639.717,0.0,0.0,0.0,0.0,0.0
61,173.9250641,8.437316667000001,3757453.0539999995,3611951.727,3701425.692,0.0,0.0,0.0
