row ID,row m/z,row retention time,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
114,879.7414551,7.216133332999999,0.0,3622870.846,0.0,0.0,0.0,0.0
118,302.2328938,3.966634524,6756464.25,7563710.664,8411224.396,5414834.472,8379205.286,8945337.606
119,270.2793172,5.819294444,5175262.105,3708989.376,3348531.367,7426563.749,3549205.049,2880579.3010000004
120,772.2381125,7.755215686,4500586.586,3066538.545,0.0,0.0,0.0,0.0
124,402.3577147,4.572723958,2314014.436,2525338.026,2870853.799,2289333.671,2472738.366,3451450.2610000004
125,707.1653595,7.039791667,0.0,1443818.78,611617.726,425939.4698,0.0,0.0
126,984.2332039,7.524052083,0.0,5834444.41,0.0,0.0,0.0,0.0
127,144.98231090000002,6.971121212000001,0.0,2368682.03,0.0,0.0,0.0,0.0
129,804.264712,7.338627777999999,0.0,2008849.783,2023333.306,1269653.33,2330030.004,3070720.986
132,230.2482605,3.43234375,5219297.73,5375499.826,5345432.326,5355346.131,2760525.705,3304698.51
134,817.1950977000001,7.619844,1793244.637,3525935.111,2455358.221,1016983.942,0.0,3670342.973
136,217.04725730000004,2.355809259,0.0,3911224.417,3879813.909,4204444.068,0.0,0.0
137,184.9859706,3.409133333,0.0,3455204.749,0.0,0.0,0.0,0.0
138,463.1305607,5.579709524,0.0,2110655.676,1084010.53,973213.9766,0.0,2601477.891
140,984.2355804,8.003563542,1286814.439,2251334.056,1286641.402,725589.1631,0.0,0.0
142,557.1747665,6.17905,0.0,1787403.371,1722449.5769999998,637031.6764,0.0,0.0
143,226.1801787,2.642007692,2730576.462,2018050.796,1900740.297,4162077.768,0.0,0.0
146,508.1889374,5.579476667000001,0.0,1748991.086,929753.6381,890316.0425,0.0,0.0
