Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
4,,,,,,
5,,0.7333333333333334,,,,
8,0.21969741540666426,0.21969741540666426,0.21969741540666426,0.21969741540666426,0.21969741540666426,0.21969741540666426
9,,,,,,
10,0.7612780546396147,0.7612780546396147,0.7612780546396147,0.7612780546396147,0.7612780546396147,0.7612780546396147
13,0.7612780546396147,0.7612780546396147,0.7612780546396147,0.7612780546396147,0.7612780546396147,0.7612780546396147
15,,,,,,
17,1.445557157099501,1.445557157099501,1.445557157099501,1.445557157099501,1.445557157099501,1.445557157099501
19,0.5890637493734208,0.6134797665768089,0.5890637493734208,0.6134797665768089,0.6134797665768089,0.6134797665768089
20,0.7451460363731981,0.7451460363731981,0.7451460363731981,0.7451460363731981,0.7451460363731981,0.7451460363731981
24,1.815257798013285,0.3858020859823893,0.9256076925391812,,,
25,1.445557157099501,1.445557157099501,1.445557157099501,1.445557157099501,1.445557157099501,1.445557157099501
29,,,,,,
31,,0.7333333333333334,,,,
35,,,,,,
39,0.7451460363731981,0.7451460363731981,0.7451460363731981,0.7451460363731981,0.7451460363731981,0.7451460363731981
40,,0.9945277908797726,,1.2445277908797725,0.9945277908797726,0.9945277908797726
41,,,,,,
43,,,,,0.2857142857142857,
46,,0.491724499918916,0.491724499918916,,0.491724499918916,
47,,0.6134797665768089,,0.6134797665768089,0.6134797665768089,0.6134797665768089
49,,,,,,
50,,,,,,
51,,,,,,
53,,,,,,
59,,,,,,
60,,,,,,
63,,,,,,
68,,,1.1633325755235835,,,
69,0.7311869792102547,,,,,
70,,,1.1633325755235835,,,0.3327419177672841
71,,,,,,
73,0.9793560607048839,0.9793560607048839,0.9793560607048839,0.9793560607048839,0.9793560607048839,0.9793560607048839
75,,,,,,
77,,,,,,
78,,,,,,0.22885025523989025
80,0.6467468171849924,0.7149405682744286,,,0.7149405682744286,0.7149405682744286
81,1.815257798013285,0.3169839645823545,,0.6446305056169739,,0.3169839645823545
82,,0.4641768680338452,,0.4641768680338452,,0.4641768680338452
83,,1.02100114332662,,1.02100114332662,,1.02100114332662
84,1.815257798013285,0.3169839645823545,,0.6446305056169739,,0.3169839645823545
85,,,,,,
86,,,,,,
88,,,,,,
89,,,,,,
91,,,,,,
92,0.3323210910188024,0.3323210910188024,1.1633325755235835,0.3323210910188024,0.3323210910188024,0.3327419177672841
93,,,,,,
94,,,,,,
95,,,0.7400040621452346,0.7400040621452346,,
96,,0.28013639900849246,,,,
97,,,,,,
98,,,,,,
99,,,,,0.2857142857142857,
100,,,,,,
101,1.6655152761303018,1.02100114332662,2.208283443667021,1.02100114332662,,1.02100114332662
103,,,,,,
105,,0.28013639900849246,,,,
107,,,,,,
113,,,,,,
114,,,,,,
116,,,,,,
117,,0.7149405682744286,,,0.7149405682744286,0.7149405682744286
119,0.7056956720139885,0.7056956720139885,0.7056956720139885,,,
120,,,,,,
121,0.22170672365705182,0.22170672365705182,0.22170672365705182,,0.22170672365705182,
122,,,,,,
123,,,,,,
124,,,,,,
127,0.3323210910188024,0.3323210910188024,1.1633325755235835,0.3323210910188024,0.3323210910188024,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
138,,,,,,
139,,,,,,
141,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
150,0.38473390400224317,,,0.38473390400224317,,
151,,,,,,
152,,0.7333333333333334,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,0.5591349699556313,,0.8041545698127611,0.15670168794147607,
159,,,,,,
161,,,,,,
162,,,,,,
164,,,,,,
165,,0.48492966997326536,,,0.48492966997326536,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,0.6424768956225803,0.6424768956225803
190,,,,,,
191,,,,,,
192,,,,,,0.6147233426732205
194,,,,,,0.22885025523989025
196,,,,,,
197,,,,,,
198,,,,,,
200,,,,0.28008554959383974,,0.28008554959383974
201,,,,,,0.3311771923698903
202,,,,,,
203,0.5569828905550925,0.48492966997326536,,0.5569828905550925,0.48492966997326536,0.5569828905550925
204,0.5569828905550925,,,0.5569828905550925,,0.5569828905550925
205,,,,,,
206,,,,,,0.3311771923698903
208,,,,,,
209,,,,0.3235776147485934,,
210,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,0.6147233426732205
