Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
267,,,,,M1|p1Cl|,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,M1|m2Hp1Na|,,,,M1|m2Hp1Na|,
274,,,,,M1|m2Hp1Na|pHCOOH,
275,,,,M1|m1H|,,
276,,,,,,
277,M1|p1Cl|,M1|p1Cl|,,M1|p1Cl|,M1|p1Cl|,M1|p1Cl|
278,M1|m1H|,,,,,
281,,M2|m1H|,M2|m1H|,M2|m1H|,M2|m1H|,
283,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,
284,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|
285,,,,,,
290,,,,,,
293,M1|m1H|,,,M1|m1H|,,
301,,,M1|m1H|,,,
305,,,,,,
306,M2|m1H|,M2|m1H|,M2|m1H|,M2|m1H|,M2|m1H|,M2|m1H|
307,,,,,,
308,,,,,,
309,,,,,,
310,M1|p1Cl|,,,M1|p1Cl|,,
311,,,,M1|m1H|,,
312,,,,M1|m1H|pHCOOH,,
316,,,,,,
317,,,,M1|p1Cl|,,
321,M1|m1H|,M1|m1H|pHCOOH,,M1|m1H|pHCOOH,,
322,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
330,,,,,,
331,,,,,,
335,,,,M1|m2Hp1K|,,
336,,,,,,
337,,,,,,
339,M1|m1H|,,,M1|m1H|,,
342,,,,M1|m1H|pHCOOH,,
343,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,M2|m1H|,,
350,,,,,,
351,,,,,,
