Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
424,,,,,,
425,,,,,,
426,,,,158.1171,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
434,,,,,,
435,,,386.3033,,,
436,,,386.3033,,,
437,,,,,,
438,,,372.2876,,,
440,,,486.2267,,,
441,,,372.2877,,,
443,,,386.3031,,,
444,175.9627,175.9627,175.9627,175.9627,175.9627,175.9627
446,145.93,145.93,145.93,145.93,145.93,145.93
449,,,372.2875,,,
450,,,,,,
451,,,356.166,,,
453,145.9311,145.9311,145.9311,145.9311,145.9311,145.9311
454,162.8383,162.8383,172.8671,162.8383,162.8383,162.8383
459,,,372.2876,,,
460,,99.9244,99.9244,,,99.9244
461,100.933,100.933,100.933,100.933,,100.933
462,85.4352,85.4352,85.4352,85.4352,85.4352,85.4352
465,,,,,,
466,,,,,,
467,,,,,,
468,,,344.2572,,,
471,,,386.3034,,,
472,744.1472,744.1472,744.1472,,744.1472,
475,,,172.8673,,,
476,,,,,,
477,95.464,95.464,95.464,95.464,95.464,95.464
479,,,,,,
480,,,,,,
481,145.9305,145.9305,145.9305,145.9305,145.9305,145.9305
482,,,,,,
484,,95.9726,,,95.9726,
485,,,386.3036,,,
487,,,,,,
492,,,,,,
493,175.9634,175.9634,175.9634,175.9634,175.9634,175.9634
495,,,,,,
496,,,,,,
497,,,,,,
500,,,449.2992,,,
502,,,,,,
503,,,449.2984,,,
504,,,,,,
506,97.9533,95.9741,97.9533,97.9533,95.9741,97.9533
507,,,249.9677,,,
508,,,,,,
512,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
521,,,,,,
522,,,,,,
523,232.9395,,232.9395,,,
525,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
533,,,,,,
534,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
541,,,,,,
542,,,,,,
544,145.9311,,145.9311,,,
545,283.9381,283.9381,283.9381,283.9381,283.9381,283.9381
548,183.9956,183.9956,183.9956,183.9956,,
549,,,,,,
550,,,,,,
551,55.9979,62.9953,62.9953,,62.9953,62.9953
552,,,486.2282,,,
553,,,,,,
555,,,,,,
556,99.9244,,,,,
557,,,,,,
558,,,,,,
559,97.9538,,97.9538,,,
560,,,,,,
562,,,,,,
565,,,344.2566,,,
567,100.9331,,100.9331,,,
569,,,,,,
570,,,,,,
572,,,,,,
574,,,,,,
578,,,,,,
580,,,,,,
581,,,,,,
583,,,,,,
584,,,744.1464,,,
586,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
604,,,372.2878,,,
605,,,,,,
606,,,,,,
608,,,,,,
609,,,,,,
610,966.2036,966.2036,966.2036,966.2036,966.2036,966.2036
611,240.9109,240.9109,240.9109,240.9109,240.9109,240.9109
612,,,,,,
614,,,,,,
615,,,,,,
621,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
635,97.9173,97.9173,97.9173,,97.9173,
637,,,356.1659,,,
639,,62.9949,62.9949,,62.9949,62.9949
640,,,356.1657,,,
641,,,,,,
642,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,129.9572,129.9572,129.9572,,,
654,,,,,,
656,,,,,,
657,,,,,,
660,,,,,,
661,966.2046,966.2046,966.2046,966.2046,966.2046,966.2046
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
667,,,,,,
668,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,422.2183,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,,,175.9636,,,
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,422.2192,,,
700,,,,,,
701,,,,,,
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,402.2617,,,,,
707,402.262,,,,,
708,388.2467,,,,,
710,,,,,,
711,342.09,,,,,
712,,,,,,
713,402.2617,,,,,
716,,,,,,
717,262.2755,,,,,
719,594.13,,,,,
720,,,,,,
723,,,,,,
724,254.2615,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
730,,,,175.9628,,
731,402.2628,,,,,
732,,,,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,,,,,
738,,,,,,
740,,,,,,
743,,,,,,
745,388.2466,,,,,
746,744.1456,,,,,
747,,,,,,
748,,,,,,
749,,,,,,
750,122.0838,,,,,
751,744.1478,,,,,
754,99.9245,,,,,
756,,,,,,
758,,,,,,
759,,,,,,
761,,,,,,
762,254.2614,,,,,
763,,,,,,
765,,,,,,
766,,,,,,
767,744.1477,,,744.1477,,
768,,,,,,
769,,,,,,
771,240.911,,,,,
772,,,,,,
773,,,,,,
774,174.0889,,,,174.0889,
775,,,,,,
776,,,,,,
778,,,,,,
779,,,,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,55.9988,,,,,
786,,,,,,
787,,,,,,
788,,,,,,
790,283.9381,,,283.9381,299.9121,
791,,,,,,
792,,,,,,
793,,,,,,
795,,,,,,
799,,,,,,
800,262.2751,,,,,
801,,,,,,
802,191.9367,,,,,
803,,,,,,
806,,,,,,
809,,,,,,
811,,,,,,
812,,,,,,
813,,,,,,
814,,,,,,
815,,,,,,
816,,,,,,
817,,,,,,
818,,,,,,
819,,,,,,
820,,,,,,
822,122.0833,,,,,
823,,,,,,
824,,,,,,
825,,,,,,
