Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
525,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
533,,,,,,
534,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
541,,,,,,
542,,,,,,
544,14,,5,,,
545,1,0,2,0,0,0
548,19,5,7,9,,
549,,,,,,
550,,,,,,
551,26,23,26,,21,20
552,,,21,,,
553,,,,,,
555,,,,,,
556,22,,,,,
557,,,,,,
558,,,,,,
559,25,,24,,,
560,,,,,,
562,,,,,,
565,,,23,,,
567,4,,6,,,
569,,,,,,
570,,,,,,
572,,,,,,
574,,,,,,
578,,,,,,
580,,,,,,
581,,,,,,
583,,,,,,
584,,,9,,,
586,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
604,,,1,,,
605,,,,,,
606,,,,,,
608,,,,,,
609,,,,,,
610,13,13,16,11,3,9
611,16,9,13,14,7,8
612,,,,,,
614,,,,,,
615,,,,,,
621,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
635,32,24,27,,20,
637,,,22,,,
639,,23,26,,21,20
640,,,22,,,
641,,,,,,
642,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,0,19,20,,,
654,,,,,,
656,,,,,,
657,,,,,,
660,,,,,,
661,13,13,16,11,3,9
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
667,,,,,,
668,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,18,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,,,19,,,
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,18,,,
700,,,,,,
701,,,,,,
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,5,,,,,
707,5,,,,,
708,24,,,,,
710,,,,,,
711,10,,,,,
712,,,,,,
713,5,,,,,
716,,,,,,
717,23,,,,,
719,11,,,,,
720,,,,,,
723,,,,,,
724,7,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
730,,,,20,,
731,5,,,,,
732,,,,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,,,,,
738,,,,,,
740,,,,,,
743,,,,,,
745,24,,,,,
746,9,,,,,
747,,,,,,
748,,,,,,
749,,,,,,
750,31,,,,,
751,8,,,,,
754,22,,,,,
756,,,,,,
758,,,,,,
759,,,,,,
761,,,,,,
762,7,,,,,
763,,,,,,
765,,,,,,
766,,,,,,
767,9,,,15,,
768,,,,,,
769,,,,,,
771,18,,,,,
772,,,,,,
773,,,,,,
774,12,,,,4,
775,,,,,,
776,,,,,,
778,,,,,,
779,,,,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,26,,,,,
786,,,,,,
787,,,,,,
788,,,,,,
790,0,,,5,15,
791,,,,,,
792,,,,,,
793,,,,,,
795,,,,,,
799,,,,,,
800,23,,,,,
801,,,,,,
802,27,,,,,
803,,,,,,
806,,,,,,
809,,,,,,
811,,,,,,
812,,,,,,
813,,,,,,
814,,,,,,
815,,,,,,
816,,,,,,
817,,,,,,
818,,,,,,
819,,,,,,
820,,,,,,
822,31,,,,,
823,,,,,,
824,,,,,,
825,,,,,,
